Date,Province,Total Cases,Total Deaths,Total Recovered,Island
3/31/2020,Riau,3,0,1,Sumatera
3/31/2020,Sulawesi Barat,1,0,0,Sulawesi
3/31/2020,Sulawesi Selatan,51,4,5,Sulawesi
3/31/2020,Sulawesi Tengah,2,0,0,Sulawesi
3/31/2020,Sulawesi Tenggara,3,0,0,Sulawesi
3/31/2020,Sulawesi Utara,1,1,5,Sulawesi
3/31/2020,Sumatera Barat,8,0,1,Sumatera
3/31/2020,Sumatera Selatan,5,2,1,Sumatera
3/31/2020,Sumatera Utara,13,4,10,Sumatera
1/4/2020,Aceh,5,0,1,Sumatera
1/4/2020,Bali,18,2,5,Nusa Tenggara
1/4/2020,Banten,91,28,190,Jawa
1/4/2020,Bengkulu,1,1,0,Sumatera
1/4/2020,DKI Jakarta,467,107,112,Jawa
1/4/2020,Daerah Istimewa Yogyakarta,17,2,5,Jawa
1/4/2020,,1677,157,103,
1/4/2020,Jambi,2,0,4,Sumatera
1/4/2020,Jawa Barat,179,31,87,Jawa
1/4/2020,Jawa Tengah,137,32,40,Jawa
1/4/2020,Jawa Timur,126,47,445,Jawa
1/4/2020,Kalimantan Barat,9,2,3,Kalimantan
1/4/2020,Kalimantan Selatan,7,0,0,Kalimantan
1/4/2020,Kalimantan Tengah,7,2,41,Kalimantan
1/4/2020,Kalimantan Timur,17,1,3,Kalimantan
1/4/2020,Kalimantan Utara,2,0,0,Kalimantan
1/4/2020,Kepulauan Bangka Belitung,2,1,0,Sumatera
1/4/2020,Kepulauan Riau,5,3,2,Sumatera
1/4/2020,Lampung,7,2,0,Sumatera
1/4/2020,Maluku,1,1,2,Maluku
1/4/2020,Maluku Utara,1,0,0,Maluku
1/4/2020,Nusa Tenggara Barat,4,0,0,Nusa Tenggara
1/4/2020,Papua,9,1,4,Papua
1/4/2020,Papua Barat,2,1,1,Papua
1/4/2020,Riau,3,1,1,Sumatera
1/4/2020,Sulawesi Barat,1,0,0,Sulawesi
1/4/2020,Sulawesi Selatan,65,4,5,Sulawesi
1/4/2020,Sulawesi Tengah,2,0,0,Sulawesi
1/4/2020,Sulawesi Tenggara,3,0,0,Sulawesi
1/4/2020,Sulawesi Utara,3,1,5,Sulawesi
1/4/2020,Sumatera Barat,8,0,1,Sumatera
1/4/2020,Sumatera Selatan,5,2,1,Sumatera
1/4/2020,Sumatera Utara,15,4,10,Sumatera
2/4/2020,Aceh,5,0,1,Sumatera
2/4/2020,Bali,18,2,5,Nusa Tenggara
2/4/2020,Banten,97,30,191,Jawa
2/4/2020,Bengkulu,1,1,0,Sumatera
2/4/2020,DKI Jakarta,537,112,114,Jawa
2/4/2020,Daerah Istimewa Yogyakarta,17,3,5,Jawa
2/4/2020,,1790,170,112,
2/4/2020,Jambi,2,0,4,Sumatera
2/4/2020,Jawa Barat,194,36,88,Jawa
2/4/2020,Jawa Tengah,142,34,42,Jawa
2/4/2020,Jawa Timur,126,59,536,Jawa
2/4/2020,Kalimantan Barat,9,3,3,Kalimantan
2/4/2020,Kalimantan Selatan,7,0,0,Kalimantan
2/4/2020,Kalimantan Tengah,7,2,41,Kalimantan
2/4/2020,Kalimantan Timur,17,1,3,Kalimantan
2/4/2020,Kalimantan Utara,2,0,0,Kalimantan
2/4/2020,Kepulauan Bangka Belitung,2,1,0,Sumatera
2/4/2020,Kepulauan Riau,7,4,4,Sumatera
2/4/2020,Lampung,7,2,0,Sumatera
2/4/2020,Maluku,1,1,2,Maluku
2/4/2020,Maluku Utara,1,0,0,Maluku
2/4/2020,Nusa Tenggara Barat,4,0,0,Nusa Tenggara
2/4/2020,Papua,9,1,5,Papua
2/4/2020,Papua Barat,2,1,1,Papua
2/4/2020,Riau,7,1,1,Sumatera
2/4/2020,Sulawesi Barat,1,0,0,Sulawesi
2/4/2020,Sulawesi Selatan,65,6,9,Sulawesi
2/4/2020,Sulawesi Tengah,2,1,0,Sulawesi
2/4/2020,Sulawesi Tenggara,3,0,0,Sulawesi
2/4/2020,Sulawesi Utara,3,1,5,Sulawesi
2/4/2020,Sumatera Barat,8,0,1,Sumatera
2/4/2020,Sumatera Selatan,11,2,1,Sumatera
2/4/2020,Sumatera Utara,15,4,10,Sumatera
3/4/2020,Aceh,5,0,1,Sumatera
3/4/2020,Bali,21,2,5,Nusa Tenggara
3/4/2020,Banten,101,30,195,Jawa
3/4/2020,Bengkulu,2,1,0,Sumatera
3/4/2020,DKI Jakarta,608,118,116,Jawa
3/4/2020,Daerah Istimewa Yogyakarta,17,3,5,Jawa
3/4/2020,,1986,181,134,
3/4/2020,Jambi,2,0,4,Sumatera
3/4/2020,Jawa Barat,196,37,90,Jawa
3/4/2020,Jawa Tengah,161,35,47,Jawa
3/4/2020,Jawa Timur,173,60,543,Jawa
3/4/2020,Kalimantan Barat,9,3,3,Kalimantan
3/4/2020,Kalimantan Selatan,7,0,0,Kalimantan
3/4/2020,Kalimantan Tengah,9,2,41,Kalimantan
3/4/2020,Kalimantan Timur,18,1,3,Kalimantan
3/4/2020,Kalimantan Utara,8,0,0,Kalimantan
3/4/2020,Kepulauan Bangka Belitung,2,1,0,Sumatera
3/4/2020,Kepulauan Riau,9,4,4,Sumatera
3/4/2020,Lampung,10,3,0,Sumatera
3/4/2020,Maluku,1,1,2,Maluku
3/4/2020,Maluku Utara,1,0,0,Maluku
3/4/2020,Nusa Tenggara Barat,4,0,0,Nusa Tenggara
3/4/2020,Papua,15,2,5,Papua
3/4/2020,Papua Barat,2,1,1,Papua
3/4/2020,Riau,10,1,1,Sumatera
3/4/2020,Sulawesi Barat,2,0,0,Sulawesi
3/4/2020,Sulawesi Selatan,80,6,9,Sulawesi
3/4/2020,Sulawesi Tengah,4,2,0,Sulawesi
3/4/2020,Sulawesi Tenggara,5,0,0,Sulawesi
3/4/2020,Sulawesi Utara,3,1,5,Sulawesi
3/4/2020,Sumatera Barat,8,0,1,Sumatera
3/4/2020,Sumatera Selatan,12,2,1,Sumatera
3/4/2020,Sumatera Utara,15,4,10,Sumatera
4/4/2020,Aceh,5,0,1,Sumatera
4/4/2020,Bali,26,2,5,Nusa Tenggara
4/4/2020,Banten,104,32,197,Jawa
4/4/2020,Bengkulu,2,1,0,Sumatera
4/4/2020,DKI Jakarta,665,126,121,Jawa
4/4/2020,Daerah Istimewa Yogyakarta,22,3,5,Jawa
4/4/2020,,2092,191,150,
4/4/2020,Jambi,2,0,4,Sumatera
4/4/2020,Jawa Barat,216,41,92,Jawa
4/4/2020,Jawa Tengah,176,36,50,Jawa
4/4/2020,Jawa Timur,178,62,546,Jawa
4/4/2020,Kalimantan Barat,9,3,3,Kalimantan
4/4/2020,Kalimantan Selatan,7,0,0,Kalimantan
4/4/2020,Kalimantan Tengah,10,2,43,Kalimantan
